time_s,tx_model,ty_model,tz_model,tx_m,ty_m,tz_m,R11,R21,R31,R12,R22,R32,R13,R23,R33,angle_rad,rate_deg_s
167.3,0.0548258337136708,0.0537613395435801,0.999854174122351,0.113595276884228,0.111389719726181,2.07162762624727,0.14125255023855,-0.040210100352733,-0.989156643247534,-0.0753083600607016,0.99584312074803,-0.0512360201790927,0.987105044033346,0.081728983160491,0.137637223727735,11.1333764519229,5.93735316909399
167.4,0.0548319858086976,0.0537619114906907,0.999855568347552,0.113608023593045,0.111390904760424,2.07163051498397,0.151463575537346,-0.0395494709674438,-0.987671314067407,-0.0745954052541692,0.995892548550369,-0.0513181961570882,0.985644109605698,0.0814485794108555,0.147891237440034,11.143739483507,5.9378027632089
167.5,0.0548381530639148,0.0537624825469267,0.999857005515623,0.113620801712711,0.111392087948838,2.07163349269527,0.161659578005659,-0.0388917359929684,-0.986079922577519,-0.0738815769036668,0.995941903632734,-0.0513929682216748,0.984077076977845,0.0811613051882469,0.158130165075739,11.1541032874858,5.93823826833779
167.6,0.0548443375439204,0.0537630515593617,0.999858484423764,0.11363361552093,0.11139326690264,2.07163655688907,0.171839434734289,-0.0382369682908267,-0.984382620186951,-0.0731669532010977,0.995991180559536,-0.0514603265330753,0.982404094876171,0.0808671905258781,0.168352878998201,11.1644678392696,5.9386596844827
167.7,0.0548505413133125,0.053763617375069,0.999860003869174,0.113646469295402,0.111394439233047,2.07163970507325,0.182002024313459,-0.0375852404006787,-0.982579570747238,-0.0724516124585231,0.996040373902444,-0.0515202621153957,0.980625324473095,0.0805662662676029,0.178558253076509,11.1748331142683,5.93906701164463
167.8,0.0548567664366893,0.0537641788411222,0.999861562649056,0.113659367313831,0.111395602551276,2.07164293475569,0.192146226977534,-0.0369366245308661,-0.980670950536705,-0.0717356330981532,0.996089478241087,-0.0515727668581524,0.978740939371755,0.0802585640643042,0.188745162830815,11.185199087892,5.93946024982055
167.9,0.0548630149786487,0.0537647348045946,0.999863159560607,0.113672313853919,0.111396754468544,2.07164624344426,0.20227092474952,-0.0362911925489997,-0.978656948243022,-0.0710190936423215,0.996138488163752,-0.0516178335176761,0.976751125588907,0.0799441163701669,0.198912485577442,11.1955657355509,5.93983939901248
168,0.0548692890037888,0.0537652841125597,0.99986479340103,0.113685313193367,0.111397892596068,2.07164962864687,0.212375001585417,-0.0356490159725889,-0.976537764943978,-0.0703020727034371,0.99618739826808,-0.051655455718392,0.974656081536044,0.0796229564388325,0.209059100573845,11.2059330326551,5.94020414940386
168.1,0.0548755886003363,0.0537658258291782,0.999866462781961,0.113698365514975,0.111399014994856,2.07165308748691,0.222457339316446,-0.0350101662255571,-0.974313615036302,-0.0695846492733196,0.99623620314143,-0.0516856279429431,0.972456018938521,0.0792951184576081,0.219183884943755,11.2163009502886,5.94054737519654
168.2,0.054881905951031,0.0537663598869595,0.999868165572782,0.113711454621929,0.11140012152507,2.0716566155499,0.232516805267233,-0.0343747154149072,-0.971984729411149,-0.0688669036121325,0.996284897300939,-0.0517083455250145,0.970151165981466,0.0789606379799529,0.229285701243235,11.2266694422324,5.94086195059742
168.3,0.0548882312622416,0.0537668864355,0.999869899457313,0.113724560222513,0.111401212496665,2.07166020803688,0.24255226515737,-0.0337427355029444,-0.969551353187549,-0.0681489163406453,0.996333475255975,-0.0517236047269326,0.967741765074043,0.0786195515449596,0.239363410416556,11.2370384579412,5.94114756578589
168.4,0.0548945547403365,0.0537674056243964,0.999871662119374,0.113737662025011,0.111402288219594,2.07166386014887,0.252562587492277,-0.0331142980277538,-0.967013744817174,-0.0674307681290989,0.996381931529389,-0.0517314027577426,0.965228071964717,0.078271896539519,0.249415876205547,11.24740794687,5.94140422076601
168.5,0.0549008665916843,0.0537679176032453,0.999873451242783,0.113750739737704,0.111403349003811,2.07166756708692,0.262546643733141,-0.0324894740923925,-0.964372176049093,-0.0667125396851532,0.996430260658342,-0.051731737773868,0.962610355706409,0.0779177111929447,0.259441965320249,11.2577778584738,5.94163191553371
168.6,0.0549071570226534,0.0537684225216432,0.99987526451136,0.113763773068878,0.11140439515927,2.07167132405206,0.272503308466356,-0.0318683343541572,-0.961626931892187,-0.0659943117418272,0.996478457195124,-0.051724608879604,0.959888898619321,0.0775570345714502,0.269440547609061,11.2681481422073,5.94183065009306
168.7,0.0549134162396123,0.0537689205291868,0.999877099608925,0.113776741726815,0.111405426995924,2.07167512624533,0.282431459572427,-0.0312509490139285,-0.958778310575243,-0.0652761650454323,0.996526515707967,-0.0517100161274443,0.957063996251426,0.0771899065724782,0.279410496228367,11.2785187475255,5.94200042443897
168.8,0.0549196344489295,0.0537694117754725,0.999878954219297,0.113789625419798,0.111406444823726,2.07167896886777,0.292329978394379,-0.030637387805591,-0.955826623504698,-0.064558180343499,0.996574430781866,-0.0516879605182423,0.954135957336625,0.0768163679188813,0.289350687811647,11.2888896238833,5.94214123857756
168.9,0.0549258018569735,0.053769896410097,0.999880826026296,0.113802403856111,0.111407448952631,2.07168284712041,0.302197749905536,-0.0300277199855361,-0.952772195220086,-0.0638404383727044,0.99662219701939,-0.0516584440012054,0.951105103750585,0.0764364601529596,0.299260002637962,11.2992607207356,5.94225309250271
169,0.0549319086701128,0.0537703745826568,0.99988271271374,0.113815056744037,0.111408439692591,2.07168675620428,0.31203366287673,-0.0294220143222446,-0.949615363347157,-0.0631230198467964,0.996669809041487,-0.0516214694737231,0.947971770464265,0.0760502256303505,0.30913732479987,11.3096319875372,5.94233600034931
169.1,0.0549379444317728,0.0537708464774912,0.999884611952681,0.113827562418288,0.111409417425546,2.07169069129398,0.321836610228986,-0.0288203390745488,-0.946356478485747,-0.0624060054308883,0.996717261489198,-0.0515770407801127,0.94473630543262,0.0756577075062515,0.318981542557595,11.3200033739404,5.94239028709068
