time_s,original_id,point_row,u_px,v_px,normal_u,normal_v,normal_residual_px
60.4,9,7,352.612446453901,242.104388612803,0.999924726383543,0.0122695381655734,0.67182098023184
60.5,9,7,353.047446761894,242.3692424043,0.999993140228034,-0.0037039839193768,0.823375311019213
60.6,9,7,353.097809390391,242.577853006364,0.999995598724148,0.00296690618886142,0.311800419090765
60.7,9,7,353.527726884813,242.838584128359,0.999988028969748,-0.00489304784344986,0.35788099170631
60.8,9,7,353.935135220843,243.15702040032,0.999966083248369,-0.00823603988070467,0.32730102878991
60.9,9,7,354.290082478246,243.543590631975,0.999930206560746,-0.011814482950351,0.246818583146834
61,9,7,354.819758864596,243.695174707082,0.999801867089739,-0.0199054405596297,0.39474323317006
61.1,9,7,355.146918832447,243.99971582501,0.999538124741296,-0.0303897546659053,0.362379076125241
61.2,9,7,355.48899330896,244.286215694535,0.999283040496759,-0.0378603351220352,0.310886530009747
61.3,9,7,356.126811521229,244.572615890716,0.997979479202063,-0.0635370686416856,0.740212140184855
61.4,9,7,356.745038296684,244.602548970838,0.997979479202063,-0.0635370686416856,0.89915727167472
61.5,9,7,357.224926395059,244.44491484571,0.997979479202063,-0.0635370686416856,0.934969554711641
61.6,9,7,357.52616476452,244.826428365948,0.997979479202063,-0.0635370686416856,0.761299303561375
61.7,9,7,357.624264106824,245.06846623763,0.99985654840008,-0.01693760967427,-0.0605703415450115
61.8,9,7,358.009445468711,246.264082797593,0.999992085123638,0.00397865430494575,-0.321377083186923
61.9,9,7,358.812732112656,247.998063956406,0.997552748387707,0.0699179103244148,-0.408930033205847
62,9,7,359.526984579567,249.800421021417,0.998608880196752,0.0527285917903101,0.0791378963114886
62.1,9,7,359.779845009418,252.381212556565,0.999825734764065,-0.0186681574746051,0.214010832411824
62.2,9,7,360.165169080142,255.674811929269,0.999825734764065,-0.0186681574746051,0.105889832361417
62.3,9,7,360.441877919276,258.804952440396,0.999825734764065,-0.0186681574746051,-0.104326884119203
62.4,9,7,360.547190449731,262.902340450761,0.824068389171623,-0.566490326455878,-4.7913948051822
62.5,9,7,360.704373881878,265.676807633861,0.790607922503446,-0.612322719548103,-7.04616824848157
60.1,10,8,350.168645540462,248.916580588332,0.999612331404492,0.0278421785080955,-0.790832613649363
60.2,10,8,351.060138501259,248.918382358052,0.999866828441371,0.0163194786250971,-0.263500866319609
60.3,10,8,351.742814160239,248.85119592556,0.999934817664936,0.0114175488345977,0.0209016882363393
60.4,10,8,351.912718276965,248.615724049591,0.999807254949752,0.0196329557082495,-0.281267424197077
60.5,10,8,352.717549968721,248.460858038295,0.999995842642704,0.00288352168493114,0.200875057953633
60.6,10,8,353.098692156474,248.50215254122,0.999987043683079,0.00509042885976538,0.15228184279837
60.7,10,8,353.509515331963,248.548373636404,0.999962755882205,0.00863057636931963,0.128188391623886
60.8,10,8,353.936425884568,248.627796890789,0.99998335622063,0.00576951312718784,0.160820009987766
60.9,10,8,354.05949695158,248.761351744544,0.999963847990078,0.00850310019200869,-0.13997103793366
61,10,8,354.598418560016,248.944305803112,0.999998915114701,0.00147301372070781,0.033222409429077
61.1,10,8,355.164801598938,249.222043923146,0.999983830283081,0.00568675411620664,0.174235289729672
61.2,10,8,355.46745787747,249.571683793297,0.99989793239007,0.0142872251351584,0.0355297724490285
61.3,10,8,356.132687666578,250.013837916516,0.999895513189921,0.0144555422819192,0.308279457681527
61.4,10,8,356.968454342377,250.527071825954,0.999895513189921,0.0144555422819192,0.756299908760262
61.5,10,8,357.334002113636,250.899679846706,0.999895513189921,0.0144555422819192,0.735052211315279
61.6,10,8,357.663917434723,251.400075986547,0.999895513189921,0.0144555422819192,0.683001121740151
61.7,10,8,357.924759917648,251.694940533502,0.989038226845501,0.147659696052465,0.171096343486168
61.8,10,8,358.251117444158,251.96918031152,0.995732988071744,0.0922811815361908,0.302951085881044
61.9,10,8,358.648373561493,252.665588841783,0.995732988071744,0.0922811815361908,0.383690358888932
62,10,8,358.794368044659,253.392324741014,0.982832345235457,0.184500897447606,0.103929429421054
62.1,10,8,358.992990003085,254.616898405083,0.999399920577326,0.0346381112365269,0.158740330548157
62.2,10,8,359.496002417057,256.923207383418,0.999825734764065,-0.0186681574746051,0.248402789015226
62.3,10,8,358.419666182941,258.610788065682,0.889915827487302,-0.456124785544034,-2.84160867201097
62.5,10,8,358.01713345614,261.292704554737,0.884596571383892,-0.466357058374656,-5.11816321626313
60.1,11,9,342.134920138707,230.007348281046,0.993665428714426,-0.112378893826983,0.690205105045157
60.2,11,9,342.601993278644,230.355681807093,0.994027698205437,-0.109128067885397,0.800811246473748
60.3,11,9,343.03994553554,230.702202282678,0.994743335607791,-0.10239968878803,0.833664004937593
60.4,11,9,343.219103031235,231.159287497994,0.995139429221501,-0.0984759686862995,0.645265545599337
60.5,11,9,343.359919247963,232.304341578359,0.99426791982134,-0.106917274629242,0.525420137496802
60.6,11,9,343.805625519641,232.927584209423,0.984410194506893,-0.175887944302332,1.53338225490336
60.7,11,9,344.101923701102,233.69487582503,0.98571648368227,-0.168413223343837,1.34396091109828
60.8,11,9,344.240156402723,234.696852968106,0.991468811504241,-0.130344143767058,0.630885563865348
60.9,11,9,344.590109977805,235.106537679957,0.999856039115438,-0.0169676469902914,-0.547283096767728
61,11,9,345.006054196989,236.024006523038,0.999836729157871,-0.0180697268072747,-0.39344576218306
61.1,11,9,345.145081701265,236.735978791265,0.999836729157871,-0.0180697268072747,-0.523164545024062
61.2,11,9,345.43661188857,238.298105659654,0.999812119961531,-0.019383621385855,-0.50445480540247
61.3,11,9,345.944696599315,239.524705187775,0.999982480782317,-0.00591930134750401,-0.358245946137892
61.4,11,9,346.222462981257,241.301215462712,0.999982480782317,-0.00591930134750401,-0.342724934808764
61.6,11,9,347.013873752692,244.390680986693,0.996648042271815,-0.0818088004786643,0.0438136565197887
61.7,11,9,347.239826976411,245.731909515371,0.999965836254346,0.00826597387769581,-0.0998060520314249
61.8,11,9,347.628968505477,247.259344098521,0.986609198317439,-0.163102083970195,-0.179149505422331
61.9,11,9,348.081404212162,248.704034239522,0.900448715901224,-0.434962193796009,-0.991711972372684
62,11,9,348.895042813436,249.418307897059,0.900448715901224,-0.434962193796009,-0.783711077244642
62.1,11,9,349.391796712665,250.419778598147,0.866675511574243,-0.498872285898429,-1.30870588653651
62.2,11,9,349.727796703493,251.618298333623,0.928949824970401,-0.370205649183614,-1.01261707363649
62.3,11,9,350.1879091462,253.734870586559,0.732790189084296,-0.680454655933664,-4.27945159977919
62.4,11,9,351.066789431546,254.975870980732,0.97890267061987,-0.204327094271139,0.155102699082034
62.5,11,9,351.905841994519,255.644463290084,0.993411014926674,0.114606088068462,3.74101421904222
62.6,11,9,351.533024148901,256.262861797167,0.982828495639713,-0.184521402982363,0.107572663918074
62.7,11,9,351.296806620383,257.02469894687,0.999879538276686,-0.0155212414323773,1.40457979072213
60.2,13,10,398.209581332771,238.14113498817,0.999531863023434,0.030595012680227,-0.388819709104053
60.3,13,10,399.631685738512,238.815060737757,0.999425955369072,0.0338786029023964,-0.806006444773799
60.4,13,10,401.069623968284,239.193816761932,0.999425955369072,0.0338786029023964,-1.18938775091648
60.5,13,10,402.591691928985,239.362671745652,0.999816779164255,0.0191417894047178,-1.43428381179087
60.6,13,10,403.929633056598,239.61299227474,0.999798592666327,0.0200692327315098,-1.8972563818825
61,13,10,409.844252369907,239.882323405094,0.99986290773487,-0.0165579508385491,-2.91600973144401
61.1,13,10,411.422061960765,240.541904549977,0.998608686416497,0.0527322616006372,-3.24159069413397
61.2,13,10,413.348909206863,241.63686235625,0.990246809972598,0.139324281225831,-3.07473721302944
61.3,13,10,416.351714208656,242.678630279165,0.947224570852612,-0.320570760321468,-1.29950733558742
61.4,13,10,419.801718625523,243.627246715291,0.984505285038502,-0.175354907918933,0.158584558180228
61.5,13,10,422.182072548856,243.387856679641,0.947224570852612,-0.320570760321468,0.902365941220904
61.6,13,10,423.85396791736,243.779674714457,0.985333255696108,-0.170641071314348,0.919013514578032
61.7,13,10,425.356014496239,244.455991940466,0.9948007195828,-0.101840700692516,0.776011483907152
61.8,13,10,426.654217093944,245.159694888524,0.99538464944287,-0.0959656170380584,0.426249930835101
61.9,13,10,427.894463557852,245.948897273378,0.99606776262962,-0.0885946513623864,0.0403736369760909
62,13,10,429.108988856278,246.607073003126,0.975629601193077,-0.219423976073349,-0.721215091772698
62.1,13,10,430.282700254186,247.156287824373,0.999504069536285,0.0314899187106674,-0.358803842059197
62.2,13,10,431.551521073592,247.936798969217,0.999951138739474,0.00988534944400006,-0.671354087108497
62.3,13,10,432.774751115041,248.735907174768,0.99983797812513,-0.0180004860671112,-1.07048300020646
62.4,13,10,434.016610194008,250.251407506498,0.999694383631357,-0.0247212324919376,-1.3728481735577
62.5,13,10,435.305340521319,252.595420373616,0.998930815695276,0.046230135781444,-0.990512303569696
62.6,13,10,436.407298035786,255.852579956927,0.999119579961305,0.0419531278684394,-1.22586343115228
62.7,13,10,437.595465850227,259.506070940358,0.99982250336858,-0.0188404288110869,-2.23427259879413
