time_s,angle_rad,tx_model,ty_model,tz_model,ax,ay,az,omega_rad_s
99.175,4.04152640422035,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.225,4.0466847021198,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.275,4.05184300001925,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.325,4.0570012979187,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.375,4.06215959581815,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.425,4.0673178937176,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.475,4.07247619161706,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.525,4.07763448951651,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.575,4.08279278741596,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.625,4.08795108531541,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.675,4.09310938321486,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.725,4.09826768111431,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.775,4.10342597901377,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.825,4.10858427691322,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.875,4.11374257481267,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.925,4.11890087271212,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
99.975,4.12405917061157,0.104779286491235,0.0283508778242621,1,-0.0716182041854723,-0.991397349883958,-0.109554221608809,0.103165957989032
100.025,4.12921746498512,0.104779283732308,0.0283508957099116,0.999999999880733,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.075,4.13437576295531,0.104779283737981,0.0283508952906012,0.999999999887116,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.125,4.13953406092774,0.104779283744765,0.0283508948746367,0.999999999893272,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.175,4.14469235890231,0.104779283752622,0.0283508944621067,0.999999999899207,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.225,4.14985065687891,0.104779283761516,0.0283508940530998,0.999999999904922,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.275,4.15500895485745,0.10477928377141,0.0283508936477048,0.999999999910424,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.325,4.16016725283782,0.104779283782268,0.0283508932460102,0.999999999915715,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.375,4.16532555081994,0.104779283794054,0.0283508928481048,0.9999999999208,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.425,4.17048384880369,0.104779283806731,0.0283508924540771,0.999999999925683,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.475,4.17564214678898,0.104779283820262,0.028350892064016,0.999999999930367,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.525,4.18080044477571,0.104779283834611,0.02835089167801,0.999999999934857,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
100.575,4.18595874276377,0.104779283849742,0.0283508912961479,0.999999999939157,-0.071618200723087,-0.991397350376106,-0.109554219418626,0.103165958024425
