time_s,original_id,point_row,u_px,v_px,normal_u,normal_v,normal_residual_px
64.775179,136,128,417.780561142425,236.612761704613,-0.997951426453567,0.0639761708708134,-0.21772271780752
64.825179,136,128,417.507302549685,236.708212624238,-0.999120442938702,0.041932570896296,-0.123989018404523
64.875179,136,128,417.313918766777,237.079323047278,-0.99964668348937,0.0265802217579925,-0.104427683733397
64.975179,136,128,417.166702982565,236.927813609814,-0.987268225759869,0.159064296449454,-0.195896621106068
65.025179,136,128,416.513647146168,236.458506545785,-0.999997538434835,-0.00221881145460857,0.135335523594122
65.075179,136,128,416.155742505457,236.532826414098,-0.99991280018817,-0.0132057570723259,0.306948989977503
65.125179,136,128,416.105800948093,236.443741347802,-0.999967063240081,0.00811618352473773,0.185721817516477
65.275179,136,128,415.605943367361,236.226347559718,-0.999854642853261,-0.0170497262376098,0.124807634747971
65.325179,136,128,415.338969868192,236.354764952623,-0.999862622612896,-0.0165751591745386,0.203009479115768
65.375179,136,128,415.19064208621,236.558545479188,-0.99991374046085,-0.0131343685646631,0.162317685860262
65.475179,136,128,414.994931949934,236.511773198348,-0.999805383532633,-0.0197280272496756,-0.0249728303695694
65.525179,136,128,414.853908139756,236.573870559434,-0.999999537378546,-0.000961895365498353,-0.062778870735539
65.575179,136,128,414.460155867742,236.70181864757,-0.99997840402106,-0.00657202339424326,0.13355727143662
65.625179,136,128,414.331680917825,236.598347956522,-0.999915476190489,0.0130015566278312,0.0848538535064245
65.675179,136,128,414.297705344433,236.605433290456,-0.999742724604006,0.0226822530044592,-0.0673938532059315
65.775179,136,128,413.933179693717,236.477569479998,-0.99803044873124,-0.0627313590265656,-0.160079515529704
65.825179,136,128,413.516338540961,236.517033019445,-0.999548643616972,-0.0300417882868558,0.0808257539834362
65.875179,136,128,413.296644082359,236.613191796499,-0.999596402099094,-0.0284083246698396,0.0995160177665958
65.975179,136,128,412.957883502739,237.028855039496,-0.998525702986803,-0.0542809402526391,-0.0109184314271605
63.175179,137,129,422.387950429965,242.430266564167,-0.999944453365378,0.0105399328183351,0.206032510792927
63.525179,137,129,421.362703068835,242.306825658958,-0.999986326558714,-0.00522940681227339,0.249794245557245
63.575179,137,129,421.285876565421,241.863712684031,-0.999986326558714,-0.00522940681227339,0.18206711408611
63.875179,137,129,420.343732765212,241.539819264041,0.999297550827805,-0.0374753907191218,-0.182004062326022
63.925179,137,129,420.243054446043,241.663460353419,-0.999953551792257,0.00963816673696493,0.149930261913651
64.125179,137,129,420.058769731878,241.556475297148,-0.999737498903259,-0.0229114226240055,-0.284326726989049
64.275179,137,129,419.772895915226,241.23404100052,-0.999461745359885,-0.0328057854984943,-0.477548377420743
64.475179,137,129,418.989517983691,241.443285927558,-0.999512234978562,-0.0312296674359608,-0.380980979520205
64.525179,137,129,418.591046239262,241.494911824664,-0.99982967919218,-0.0184556930637168,-0.162573995281507
64.575179,137,129,418.392939904374,241.787598858694,-0.999088454534961,0.0426879375812891,-0.149772639358408
64.725179,137,129,418.121596178753,241.773042048294,-0.999758774452687,0.0219634447403173,-0.402067039591563
64.775179,137,129,417.869460570997,241.712077367843,-0.999959692712582,-0.00897847148227918,-0.32689604673598
64.825179,137,129,417.445024118813,241.770349487922,-0.999712717410735,-0.0239683676382915,-0.0829190760496429
