time_s,tx_model,ty_model,tz_model,tx_m,ty_m,tz_m,R11,R21,R31,R12,R22,R32,R13,R23,R33,angle_rad,rate_deg_s
61.85,0.109159080056791,0.025928924662427,1.00000059243064,0.209309613600785,0.0497180188707426,1.9174743639587,0.981610932843509,-0.0172278568809512,0.190113590964418,0.023828277688906,0.999188072934074,-0.0324870449359692,-0.189399550433672,0.036419717922861,0.981224446516668,0.195185411478419,6.04553752169206
61.9,0.109159522339874,0.0259295507044419,1.0000005018565,0.209310461666754,0.0497192192895456,1.9174741902852,0.980606784615783,-0.0175951545233489,0.195194120051797,0.0245559960530375,0.999143737073133,-0.0332985844350439,-0.194441088824711,0.0374460038566736,0.98019919392531,0.200461147314876,6.04555801880714
61.95,0.109159958603945,0.0259301771345908,1.00000041109766,0.209311298191431,0.0497204204525854,1.91747401625757,0.979576217690232,-0.017957126128846,0.200269756470847,0.0252878708907926,0.999098234755208,-0.0341063175209343,-0.199476708719365,0.0384741332614642,0.979146967389609,0.205736900733273,6.0455778165278
62,0.109160388654604,0.0259308038950573,1.00000032019272,0.209312122802057,0.0497216222490004,1.91747384194977,0.978519260611001,-0.0183137615282422,0.205340358312698,0.0260238817875701,0.9990515672406,-0.0349102215806201,-0.204506269317121,0.0395040774197815,0.97806779605363,0.211012671123271,6.04559681892923
62.05,0.109160812295846,0.0259314309144175,1.00000022919152,0.209312935122797,0.049722824541837,1.91747366745742,0.97743594270424,-0.0186650506921096,0.210405783648014,0.0267640081878544,0.999003735824138,-0.0357102740837417,-0.209529629827369,0.0405358075295962,0.976961709859874,0.216288457707114,6.04561454638745
62.1,0.109161229325251,0.0259320580668174,1.00000013818913,0.209313734765515,0.0497240270897735,1.91747349296276,0.976326294188341,-0.0190109836992573,0.215465890050484,0.027508229324113,0.998954741840047,-0.0365064525082573,-0.214546648997165,0.0415692946063823,0.97582873966184,0.221564259037364,6.04563051927849
62.15,0.109161639538793,0.0259326852127954,1.00000004729186,0.209314521339001,0.0497252296253965,1.91747331866969,0.975190346080364,-0.0193515507725983,0.220520535085408,0.0282565242862501,0.998904586657812,-0.0372987344188191,-0.219557185596189,0.0426045095815055,0.974668917128478,0.226840073499161,6.04564464167751
62.2,0.109162042732449,0.0259333122128903,0.999999956606057,0.209315294452042,0.0497264318812924,1.91747314478209,0.974028130161978,-0.0196867422908534,0.225569576475051,0.0290088720455353,0.998853271680682,-0.0380870974930334,-0.224561098580778,0.0436414233357666,0.973482274709418,0.232115899477647,6.04565691358456
62.25,0.109162438702195,0.0259339389276406,0.999999866238049,0.209316053713429,0.0497276335900476,1.91747297150385,0.972839678978502,-0.0200165487888471,0.230612872102989,0.0297652514552435,0.998800798345619,-0.0388715195221438,-0.22955824709823,0.0446800067002903,0.972268845633989,0.237391735357962,6.04566733499962
62.3,0.109162827244006,0.0259345652175847,0.99999977629417,0.209316798731949,0.0497288344842485,1.91747279903887,0.971625025837918,-0.0203409609577994,0.235650280018458,0.0305256412513003,0.998747168123261,-0.039651978411712,-0.234548490491116,0.0457202304574161,0.971028663910216,0.242667579525249,6.04567590592268
62.35,0.109163208153858,0.0259351909432614,0.999999686880754,0.209317529116392,0.0497300342964816,1.91747262759104,0.970384204809869,-0.0206599696456117,0.240681658440689,0.0312900200529302,0.998692382517876,-0.0404284521822939,-0.23953168830158,0.0467620653415908,0.969761764323787,0.247943430364647,6.0456826263538
62.4,0.109163581227726,0.0259358159652092,0.999999598104135,0.209318244475547,0.0497312327593334,1.91747245736425,0.969117250724616,-0.0209735658571482,0.245706865763245,0.0320583663633087,0.998636443067313,-0.0412009189701124,-0.24450770027563,0.0478054820402614,0.968468182436997,0.253219286261298,6.04568749629286
62.45,0.109163946261587,0.0259364401439666,0.999999510070645,0.209318944418203,0.0497324296053902,1.91747228856239,0.967824199171985,-0.0212817407545116,0.250725760558351,0.0328306585702189,0.998579351342959,-0.0419693570277265,-0.249476386367431,0.0488504511947722,0.967147954587671,0.258495145600344,6.04569051573996
62.5,0.109164303051416,0.0259370633400722,0.999999422886618,0.209319628553147,0.0497336245672384,1.91747212138935,0.966505086500281,-0.0215844856573143,0.255738201581213,0.0336068749467106,0.998521108949691,-0.0427337447246962,-0.254437606743579,0.04989694340126,0.965801117888052,0.263771006766925,6.04569168469508
62.55,0.109164651393189,0.0259376854140646,0.999999336658388,0.20932029648917,0.0497348173774646,1.91747195604903,0.965159949815181,-0.0218817920429441,0.260744047774338,0.0343869936517648,0.998461717525824,-0.0434940605482445,-0.259391221787381,0.0509449292115537,0.964427710223674,0.269046868146182,6.04569100315822
62.6,0.109164991082881,0.0259383062264823,0.999999251492288,0.209320947835061,0.0497360077686552,1.91747179274531,0.963788826978599,-0.0221736515468246,0.265743158271846,0.0351709927309605,0.998401178743065,-0.0442502831039144,-0.264337092103121,0.0519943791340741,0.963027770252202,0.274322728123257,6.04568847112939
62.65,0.109165321916468,0.0259389256378639,0.999999167494652,0.209321582199607,0.0497371954733965,1.91747163168209,0.962391756607532,-0.0224600559626712,0.270735392403769,0.0359588501171452,0.998339494306459,-0.0450023911162226,-0.269275078520315,0.0530452636347342,0.961601337402252,0.279598585083289,6.04568408860845
62.7,0.109165643689926,0.0259395435087479,0.999999084771813,0.209322199191598,0.0497383802242751,1.91747147306326,0.960968778072872,-0.022740997242741,0.275720609700356,0.0367505436311109,0.998276665954336,-0.0457503634293099,-0.274205042097968,0.0540975531378432,0.960148451872183,0.284874437411422,6.04567785559564
62.75,0.10916595619923,0.0259401596996731,0.999999003430104,0.209322798419823,0.0497395617538773,1.91747131709272,0.959519931498207,-0.023016467498078,0.28069866989636,0.0375460509822709,0.998212695458261,-0.0464941790075865,-0.279126844128817,0.0551512180270092,0.958669154628866,0.290150283492795,6.04566977209083
62.8,0.109166259240357,0.0259407740711778,0.99999892357586,0.209323379493071,0.0497407397947897,1.91747116397434,0.958045257758582,-0.0232864589987537,0.285669432935326,0.0383453497693429,0.998147584622979,-0.0472338169363745,-0.284040346143568,0.0562062286460455,0.957163487406425,0.29542612171255,6.04565983809401
62.85,0.109166552609282,0.0259413864838007,0.999998845315412,0.20932394202013,0.0497419140795985,1.91747101391203,0.956544798479249,-0.023550964174101,0.290632758973868,0.0391484174810341,0.998081335286358,-0.0479692564225459,-0.28894540991513,0.0572625552998773,0.955631492704958,0.300701950455829,6.04564805360519
62.9,0.10916683610198,0.0259419967980803,0.999998768755096,0.20932448560979,0.0497430843408904,1.91747086710967,0.955018596034385,-0.0238099756129446,0.295588508385937,0.0399552314967299,0.998013949319331,-0.048700476795156,-0.293841897462827,0.0583201682554482,0.954073213789226,0.305977768107771,6.04563441862436
62.95,0.109167109514428,0.0259426048745552,0.999998694001244,0.209325009870839,0.0497442503112516,1.91747072377116,0.953466693545786,-0.0240634860638251,0.300536541767092,0.0407657690871874,0.997945428625842,-0.049427457506075,-0.298729671056621,0.0593790377426312,0.952488694687324,0.311253573053519,6.04561893315159
63,0.109167372642601,0.025943210573764,0.999998621160189,0.209325514412066,0.0497454117232687,1.91747058410039,0.95188913488154,-0.0243114884352183,0.305476719938751,0.0415800074152306,0.997875775142787,-0.0501501781306124,-0.303608593221311,0.0604391339551373,0.950877980189325,0.316529363678212,6.04560175614512
63.05,0.109167625310325,0.0259438137440056,0.999998550325157,0.209325998895663,0.0497465682860588,1.91747044827611,0.950285964569697,-0.0245539758083558,0.310408904211596,0.0423979235795588,0.997804990836199,-0.0508686184058079,-0.308478526996586,0.0615004271072688,0.949241115759131,0.321805138644427,6.0455836823963
63.1,0.109167867452829,0.0259444141846199,0.999998481536937,0.20932646319743,0.0497477196148618,1.91747031637654,0.948657227531207,-0.024790941472929,0.315332957163837,0.0432194947463062,0.997733077689459,-0.0515827583422388,-0.313339336704919,0.0625628876028401,0.947578147261806,0.327080897724479,6.04556550669645
63.15,0.10916809903319,0.0259450116827075,0.99999841482321,0.209326907246573,0.0497488653014486,1.91747018845475,0.947002969314711,-0.025022378885397,0.320248741861755,0.0440446980230768,0.997660037713664,-0.0522925781084313,-0.318190887181228,0.0636264858693772,0.945889121203292,0.332356640968113,6.04554738800398
63.2,0.109168320014487,0.0259456060253687,0.999998350211654,0.209327330972294,0.0497500049375896,1.91747006456383,0.945323236177542,-0.025248281655979,0.325156121603514,0.0448735104168619,0.9975858729512,-0.0529980579932921,-0.323033043519833,0.0646911923032256,0.944174084813124,0.337632368425081,6.04552932631881
63.25,0.109168530359798,0.0259461969997039,0.999998287729953,0.209327734303797,0.0497511381150558,1.91746994475684,0.943618075084432,-0.0254686435488273,0.330054959922942,0.0457059088346793,0.997510585475686,-0.0536991784066516,-0.327865671078184,0.0657569772703717,0.942433086043097,0.342908080145128,6.04551132164095
63.3,0.109168730032202,0.0259467843928135,0.999998227405785,0.209328117170286,0.0497522644256177,1.91746982908686,0.941887533706186,-0.0256834584821986,0.334945120593315,0.0465418700842173,0.997434177391919,-0.0543959198798058,-0.332688635480597,0.0668238111072662,0.940666173565925,0.348183776178003,6.04549337397046
63.35,0.109168918994778,0.0259473679917978,0.999998169266831,0.209328479500965,0.0497533834610461,1.91746971760697,0.940131660418354,-0.0258927205286183,0.339826467631136,0.0473813708744793,0.997356650835808,-0.0550882630660537,-0.337501802621977,0.0678916641216473,0.938873396773873,0.353459456573457,6.04547548330719
63.4,0.109169097210603,0.0259479475837573,0.999998113340772,0.209328821225038,0.0497544948131116,1.91746961037025,0.938350504299866,-0.0260964239150421,0.344698865299894,0.0482243878164327,0.997278007974323,-0.0557761887412315,-0.342305038671531,0.0689605065933655,0.937054805777372,0.358735121381235,6.04545764965131
63.45,0.109169264642755,0.0259485229557924,0.999998059655288,0.209329142271709,0.049755598073585,1.91746950742977,0.936544115131658,-0.0262945630230135,0.349562178113834,0.0490708974236596,0.997198251005425,-0.0564596778042438,-0.347098210076479,0.070030308775209,0.935210451403615,0.364010770651087,6.04543987300269
63.5,0.109169421254314,0.0259490938950034,0.999998008238061,0.209329442570181,0.0497566928342369,1.91746940883861,0.934712543395281,-0.0264871323888157,0.354416270841707,0.0499208761130108,0.997117382158011,-0.0571387112775904,-0.351881183565752,0.0711010408937293,0.93334038519513,0.36928640443276,6.0454221533614
63.55,0.109169567008358,0.0259496601884907,0.999997959116769,0.209329722049658,0.0497577786868381,1.91746931464985,0.932855840271478,-0.0266741267036206,0.359261008510518,0.0507743002052621,0.997035403691851,-0.0578132703078911,-0.356653826153683,0.0721726731500681,0.931444659408337,0.374562022776003,6.04540449072745
63.6,0.109169701867965,0.0259502216233548,0.999997912319095,0.209329980639344,0.0497588552231592,1.91746922491657,0.930974057638753,-0.0268555408136327,0.364096256409268,0.0516311459257734,0.99695231789752,-0.0584833361664061,-0.361416005143695,0.073245175720785,0.929523327012079,0.379837625730565,6.04538688510078
63.65,0.109169825796214,0.025950777986696,0.999997867872717,0.209330218268442,0.0497599220349709,1.91746913969183,0.92906724807192,-0.027031369720229,0.36892188009268,0.0524913894051495,0.996868127096339,-0.0591488902495523,-0.366167588131973,0.0743185187586843,0.927576441686144,0.385113213346193,6.04536933648145
63.7,0.109169938756182,0.0259513290656147,0.999997825805318,0.209330434866158,0.049760978714044,1.91746905902871,0.927135464840626,-0.0272016085800944,0.373737745384932,0.053355006679906,0.996782833640307,-0.0598099140794185,-0.370908443011134,0.0753926723936456,0.925604057819757,0.390388785672637,6.04535184486939
63.75,0.109170040710949,0.0259518746472113,0.999997786144577,0.209330630361693,0.0497620248521492,1.91746898298031,0.925178761907859,-0.027366252705353,0.378543718383369,0.0542219736931343,0.996696439912035,-0.0604663893042737,-0.375638437973887,0.0764676067334509,0.923606230510057,0.395664342759642,6.04533441026471
63.8,0.109170131623592,0.0259524145185861,0.999997748918175,0.209330804684253,0.049763060041057,1.91746891159968,0.923197193928441,-0.027525297563695,0.383339665462215,0.0550922662951724,0.996608948324682,-0.0611182976990755,-0.38035744151668,0.0775432918646163,0.921583015560554,0.400939884656959,6.0453170326673
63.85,0.109170211457191,0.0259529484668397,0.999997714153792,0.209330957763041,0.0497640838725383,1.9174688449399,0.92119081624749,-0.0276787387784993,0.388125453276276,0.0559658602442763,0.996520361321885,-0.061765621165972,-0.38506532244335,0.0786196978532214,0.919534469479566,0.406215411414337,6.04529971207723
63.9,0.109170280174823,0.0259534762790723,0.999997681879109,0.209331089527261,0.0497650959383637,1.91746878305406,0.919159684898879,-0.027826572128952,0.39290094876463,0.0568427312072939,0.99643068137769,-0.0624083417348016,-0.389761949868749,0.0796967947457404,0.917460649478639,0.411490923081521,6.04528244849447
63.95,0.109170337739567,0.0259539977423843,0.999997652121807,0.209331199906116,0.049766095830304,1.91746872599523,0.917103856603659,-0.0279687935501601,0.397666019154319,0.0577228547603432,0.996339910996486,-0.0630464415635897,-0.394447193222377,0.080774552569874,0.915361613470942,0.416766419708263,6.04526524191898
