original_id,x_model,y_model,z_model,x_m,y_m,z_m,observation_count
94,0.220052739921332,-0.0341613360951615,-0.0572682178787632,0.421945237544739,-0.0655034473947999,-0.109810274597159,79
95,-0.0179390370228435,0.0803184297019858,-0.0197856193640635,-0.0343976232272025,0.154008438667659,-0.0379383954297687,63
96,-0.133799227497089,0.0644299727340872,0.0312167514625654,-0.256556436651253,0.123542747797661,0.0598572851942497,48
97,-0.0408904280842593,0.0599437449679624,-0.0731006570134349,-0.0784063011325689,0.114940526161457,-0.140168552771654,59
98,0.00903166158358176,0.119109211558886,0.00849914862829664,0.017317969290773,0.22838872437102,0.0162968899554566,43
99,-0.0139992725220893,0.0546235936441486,-0.0494666222016065,-0.0268432302724255,0.104739278429195,-0.0948509237506173,69
100,0.246475057398239,0.128334053690811,-0.0255626427164989,0.472609323928129,0.246077112191408,-0.0490156830455298,43
101,0.203819701680447,0.0434022702491439,-0.0392555174030955,0.390818821308923,0.0832226912366686,-0.0752714036712845,49
102,0.199903746968839,-0.00869455264488685,-0.0497622482495847,0.383310082987397,-0.0166715719259098,-0.0954177787831117,54
103,0.202009159122145,0.00268968217519837,-0.046043557424354,0.387347154425245,0.00515739356274159,-0.0882872886825641,53
104,0.203707956505161,0.0166601712011858,-0.0424506323067944,0.390604552926955,0.031945432251984,-0.0813979509594752,47
105,-0.328695827374555,-0.0103313658188531,0.164879645694618,-0.630265449142341,-0.0198101173662095,0.31615230645971,59
106,-0.0322893196612497,-0.0373062500819649,-0.0689717305951845,-0.061913906000419,-0.071533735768823,-0.132251446904323,64
107,0.205972774055388,0.0288957856113009,-0.0385864819407023,0.394947279945794,0.0554068953113737,-0.0739885460835703,53
108,0.1971737768248,-0.0235525449953438,-0.054502947169233,0.378075438322994,-0.0451613744795736,-0.104507942043493,47
109,0.182993740633083,0.0261355227126475,-0.0353490751975715,0.350885598553466,0.0501141651009951,-0.0677809053255067,38
110,0.184563714653518,0.0411429586269659,-0.0318298137725651,0.353895981706287,0.0788905216874584,-0.0610328157607632,39
111,0.241714505169003,0.136811127750681,-0.0162560518129853,0.463481092478126,0.262331674752889,-0.0311705441441982,28
112,0.180813198143548,-0.00767122899721096,-0.0423067125082922,0.346704466707289,-0.0147093762279235,-0.0811219885988697,42
113,0.182115655394393,0.00320423912887793,-0.0394868432247302,0.349201893616384,0.00614404274569762,-0.0757149647412115,43
114,0.182233737522092,0.0152227337587571,-0.0374590090155518,0.34942831293495,0.0291891844392183,-0.071826646934312,32
115,0.163908257729095,0.0155725361404519,-0.0295276539144193,0.314289696041829,0.0298599211412046,-0.0566184858662179,38
116,-0.148455602224991,-0.0818574243145041,-0.024489341835026,-0.284659642811377,-0.156959419635182,-0.0469576573397287,65
117,0.231643222650764,-0.0144417899210691,-0.0572603776338712,0.44416967787789,-0.0276917455378886,-0.109795241137477,64
118,0.143629901241271,0.0379372968882224,-0.0204513686638127,0.275406490368814,0.0727437511254296,-0.0392149518885901,26
119,0.198807930960616,-0.0333759902292792,-0.0539082040089988,0.38120888512883,-0.063997567722259,-0.103367537956214,36
120,-0.0261341826434733,-0.0255306437015329,-0.0588215955004468,-0.0501115955542299,-0.0489543257910105,-0.112788834599694,65
